title,rating,body,,,,,,,,
Works great.,4.0 out of 5 stars,Good Intel CPU but overpriced. Good graphics with Intel UHD 770.,,,,,,,,
Runs hot.,4.0 out of 5 stars,Upgraded from Asus Prime Z390-A (i7 9700K) to Asus ROG Strix Z790-1 WiFi D4 (i7 13700K). Using Noctua cooler.,,,,,,,,
Works.,4.0 out of 5 stars,I don't know how you rate a chipset; it's the middle of the tier in speed. More cores would probably be better.,,,,,,,,
Great CPU; wish efficiency cores were more controllable.,4.0 out of 5 stars,"Great CPU, however, I wish I could customize when efficiency cores would be used for certain apps or tasks.",,,,,,,,
"Great CPU, but runs hot.",4.0 out of 5 stars,"It's a great CPU. There are many great benchmarks out there to show how good it is, but it performs well in every task.",,,,,,,,
Do not buy used; looks like it's been burnt.,4.0 out of 5 stars,"Ok, my used product did work, but Amazon says it's like new when it isn't. Good CPU for a brand new one.",,,,,,,,
Solid.,4.0 out of 5 stars,Had no problem with it.,,,,,,,,
Nul delivery.,4.0 out of 5 stars,"Hi, everything is good regarding the condition of the packages, but the delivery is mediocre.",,,,,,,,
The king of mid-range gaming? (With a few quirks),3.0 out of 5 stars,"The Intel Core i5-13600K is the latest champion in the mid-range desktop processor arena, promising high performance.",,,,,,,,
Not compatible with ASRock Steel Legend ATX.,3.0 out of 5 stars,"BIOS flash to update the motherboard to use this 13th gen CPU, but the flash didnt work.",,,,,,,,
"And I thought it was new, but it wasn't, haha.",3.0 out of 5 stars,"Obviously, the processor was released months ago and has not been used much; it is like new in its box with the seal intact.",,,,,,,,
"The motherboard I bought at the same time was defective, and I struggled.",3.0 out of 5 stars,"The graphics output was poor, and at the same time, the motherboard I bought with it was defective, so I spent a lot of time troubleshooting. Even though it was expensive, the graphics output wasnt good, leading me to recognize the importance of the motherboard. After exchanging the motherboard, it worked without problems.",,,,,,,,
Does not upgrade if you already had an i3 10th gen or similar.,3.0 out of 5 stars,"I bought it because I thought the new architecture and technologies of the 12th generation would be beneficial, but it didnt meet my expectations.",,,,,,,,
Fan blade broke.,3.0 out of 5 stars,"Overall, the CPU seems to work well, still in BIOS, but I realized one of the CPU fan blades was broken.",,,,,,,,
That the CPU is used?,3.0 out of 5 stars,"I saw the imprint of poorly wiped-off thermal paste on my chip, and if youre paying new prices for a used CPU, its not worth it.",,,,,,,,
Amazon sent a damaged box.,3.0 out of 5 stars,"The box was damaged when it arrived, so I returned it without even opening it. Box condition is important!",,,,,,,,
Poor product packaging.,3.0 out of 5 stars,"The Amazon box itself was fine, but the CPU packaging was not. The CPU looked like it was thrown in there carelessly.",,,,,,,,
"No foam inside, beware.",3.0 out of 5 stars,Intel getting cheap shipping material warranty not indicated and if 1700 magnesium plate should be o,,,,,,,,
"Performance is alright, but...",3.0 out of 5 stars,"Purchased a new item, but seems like a used one, the top surface is scratched a bit. And after 2 weeks, it discounted to 299overall a decent cpu, but wait for the discount",,,,,,,,
Good processor BUT NOT FOR GAMING.,3.0 out of 5 stars,"Super CPU for work, but for gaming, it doesnt do the job correctly at all, stability issues.",,,,,,,,
Intel I9 13900KF processor.,3.0 out of 5 stars,"Item arrived early, but the processor in the package was not well secured and was moving around inside the box. I hope it hasn't been damaged... if it doesn't work, I will probably decide to request a refund.",,,,,,,,
Powerful chip! (Intel),3.0 out of 5 stars,It's a powerful chip that suits 99% of the population... hard gamers included!The Intel Unlocked 10-,,,,,,,,
Not much better than 5600X in gaming performance despite being newer.,3.0 out of 5 stars,it has more cores which helps in some games but the lack of cache is killing it,,,,,,,,
Please advertise under the main heading that CPU cooler is NOT included!,3.0 out of 5 stars,I am grading the main heading at the top of the page that does not let the consumer know a cooler is,,,,,,,,
Supposed to be new but...,3.0 out of 5 stars,"Overall, it's great but for something with that much value, I would expect something better than a bag",,,,,,,,
Bad packaging.,3.0 out of 5 stars,"Look, this is a great processor. I use it in my build and I love it, but I bought one for my partner",,,,,,,,
Showed up looking rough.,3.0 out of 5 stars,The CPU itself was in the plastic holder but had 4 vertical scratch lines as if someone had used it,,,,,,,,
Feels like a retake on the 7th gen processors.,3.0 out of 5 stars,"While I did indeed get the advertised product, I did NOT realize that there is no heatsink or fan i",,,,,,,,
Buyer beware.,3.0 out of 5 stars,"I paired with Asus B560 Strix a gaming wifi. You can enable XMP. but, when you sync all cores and se",,,,,,,,
Not worth the money.,3.0 out of 5 stars,"Runs WAY too hot. Even though it comes with a less than good stock cooler, I assumed it would be goo",,,,,,,,
Good CPU.,3.0 out of 5 stars,All packages are very good! 5 stars! But I received the same item in the package and immediately disc,,,,,,,,
"Things are good, but I'm not happy.",3.0 out of 5 stars,"Pair it with Noctua H9i, and the temperature is high even at Idle around 38 degrees. I am using HTPC",,,,,,,,
High temperature.,3.0 out of 5 stars,It only came with the processor without the fan,,,,,,,,
This is NOT the correct part number.,3.0 out of 5 stars,"I needed a new build at a time when everything was out of stock, so I opted for this i5, which was ava",,,,,,,,
Just okay for light work.,3.0 out of 5 stars,Great for regular use I'd say. But it isn't the best for gaming or editing videos.,,,,,,,,
Zur KÃ¼hlung benÃ¶tigen Sie einen WasserstoffkÃ¼hler,1.0 out of 5 stars,"It is never satisfactory, and it consumes a lot of energy and also heat, which is not controlled.",,,,,,,,
La confezione arriva danneggiata,1.0 out of 5 stars,It looks like a second-hand one.,,,,,,,,
Deja ouvert,1.0 out of 5 stars,"Processor sold as ""new"" but the factory seal has already been opened, and the box is damaged!",,,,,,,,
Pas de chance !!!,2.0 out of 5 stars,"Package and packaging in perfect condition, BUT one fan blade provided is broken. The only solution.",,,,,,,,
Cpu cooler not fit for purpose,2.0 out of 5 stars,CPU cooler is too small and doesn't cover the whole CPU. Not worth buying with cooler.,,,,,,,,
Intel Non ci siamo,2.0 out of 5 stars,I didn't expect this in 2023 from such an important company like INTEL that is not capable of providing.,,,,,,,,
Intel 13500 usatto ottime condizioni warehouse,2.0 out of 5 stars,Product arrived in its original packaging totally destroyed. The original cooler arrived.,,,,,,,,
Schafft keine 3200MHz in Gear 1.,2.0 out of 5 stars,"I have a B760 Gaming X, my 13700K has no problems with a 4000 CL16 kit. The 13500 achieves.",,,,,,,,
Excellent microprocessor,5.0 out of 5 stars,"It's a very good 13th generation microprocessor, excellent stress test, the only downside for being an i5...",,,,,,,,
Powerful performance and smooth experience,5.0 out of 5 stars,"Whether you're a passionate gamer, a content creator, or simply a demanding user, this...",,,,,,,,
Excellent performance and price-performance ratio - The Intel i5 13500KF convinces!,5.0 out of 5 stars,"I recently installed the Intel i5 13500KF in my gaming PC, and I am absolutely thrilled...",,,,,,,,
TOP,5.0 out of 5 stars,Great performance,,,,,,,,
A great upgrade from my i5 9600k,5.0 out of 5 stars,"Upgraded from the i5 9600k and it's made a world of difference. I was CPU bound on most games I run, but...",,,,,,,,
5-13600KF,5.0 out of 5 stars,"I am extremely satisfied with this CPU, bought it on offer at a great price and it has proven to be...",,,,,,,,
As good performance as the i5-14600kf,5.0 out of 5 stars,"Bought on Black Friday for €260, while the i5-14600kf was on sale for €330. Note: the ""f"" variant...",,,,,,,,
Super satisfied,5.0 out of 5 stars,More than sufficient for what I use it for: some photo editing and gaming,,,,,,,,
Perfect,5.0 out of 5 stars,The Intel Core i5-13600KF processor proves to be a wise choice for building a PC oriented...,,,,,,,,
Excellent CPU,5.0 out of 5 stars,"An exceptional processor, on Cinebench R23 stock it exceeded 23,500 points, and with a little overclock...",,,,,,,,
Beast.,5.0 out of 5 stars,"Such a good CPU. I was debating on getting the i9 as I thought I would need it, but this thing barely...",,,,,,,,
Heater with good performance,5.0 out of 5 stars,"There are thousands of reviews, not much to add. In terms of performance, it surpasses Ryzen in tasks, office work...",,,,,,,,
Amazing for an i5,5.0 out of 5 stars,How far we have come where the i5 is good enough paired with any high-end GPUs giving great performance...,,,,,,,,
Great CPU,5.0 out of 5 stars,"Runs as it should, reliable and fast",,,,,,,,
Satisfactory price-performance ratio,5.0 out of 5 stars,Good all-around processor,,,,,,,,
Fantastic!,5.0 out of 5 stars,"Excellent processor for everything! Gaming, productivity, whatever its use, it performs excellently!",,,,,,,,
Deals with every modern workload,5.0 out of 5 stars,"Great for gaming, streaming media, 3D modeling, and software development. So far, it has dealt with everything...",,,,,,,,
Very good,5.0 out of 5 stars,One of the best processors I've had,,,,,,,,
"Insane performance, runs cool",5.0 out of 5 stars,"Crazy performance. If you used to use i7's, you can probably get by buying an i5 now. Runs very cool and...",,,,,,,,
Absolute price-performance CPU!,5.0 out of 5 stars,"Runs smoothly and cleanly, the whole system has gotten a noticeable kick, optimal support with...",,,,,,,,
Excellent processor,5.0 out of 5 stars,I am extremely satisfied with my purchase of the Intel Core i5-13600KF processor. This processor...,,,,,,,,
"I5-13600KF, a beast of a processor!",5.0 out of 5 stars,"I come from an i7-9700KF, a great processor that after four years started to show some signs of...",,,,,,,,
Fast delivery and best price online,5.0 out of 5 stars,Upgrading my 5-year-old PC. It was the best choice. Performance as good as 13900 for half the price...,,,,,,,,
Intel i5 review,5.0 out of 5 stars,This processor is a real gem. I was initially with AMD but took the plunge and am...,,,,,,,,
Great CPU at a great price,5.0 out of 5 stars,"After years, I finally thought it was time to upgrade my Core i7-7700K. As I...",,,,,,,,
Good CPU at a fantastic price.,5.0 out of 5 stars,The truth is I am very happy with this CPU especially because I was able to buy it at a very...,,,,,,,,
"Fantastic CPU, performance, speed, value",5.0 out of 5 stars,Amazing upgrade over my 9900k. Nothing yet has been able to fault it. Perfectly stable...,,,,,,,,
Whew!,5.0 out of 5 stars,I have a colleague who brags with a Ryzen 7 5000 and this one that I got humiliates his miserably...,,,,,,,,
i5 13600k,5.0 out of 5 stars,A beast both for gaming and for work/editing. I use it paired with a 4070 and it...,,,,,,,,
Versatile,5.0 out of 5 stars,"Versatile, that's what I retain. The 13th generation marked a change across the entire range...",,,,,,,,
Fast and economical,5.0 out of 5 stars,"High-quality processor, maintaining an accessible price in this range of efficiency and speed...",,,,,,,,
Absolute beast,5.0 out of 5 stars,"If you go for the budget CPU which beats most of AMD CPUs, here it is, THE CHAMPION. Just expect...",,,,,,,,
"Fast, stable, and powerful: The i5-13600KF CPU convinces all around",5.0 out of 5 stars,The CPU is an excellent choice for anyone looking for a powerful and reliable CPU...,,,,,,,,
Wonderful,5.0 out of 5 stars,,,,,,,,,
Good gaming performance,5.0 out of 5 stars,"Switched from i7 9700k. However, only because of my graphics card. Bottleneck. For me, the...",,,,,,,,
Performs well for the price,5.0 out of 5 stars,"Excellent processor i5-13600KF with a z790, 32GB DDR5 CL34 7200MHz, RX7900XT, good in everything without overheating...",,,,,,,,
"Difficulty finding the right motherboard, but then wonderful",5.0 out of 5 stars,"The 13600 KF model does not have a graphics chip, so forget about using the internal graphics card...",,,,,,,,
It's an i5-13600KF,5.0 out of 5 stars,"Nothing specific to say, it's an i5-13600KF. Games, editing, touch-up, streaming... It works...",,,,,,,,
Love an Intel CPU,5.0 out of 5 stars,"Upgraded from an old 2015 PC, huge jump and this CPU has done everything I expected it to...",,,,,,,,
Spectacular,5.0 out of 5 stars,I had an 11600kf with an RTX 3080ti and I changed the CPU to the 13600kf and DDR5 RAM at 6000MHz...,,,,,,,,
Very smart processor,5.0 out of 5 stars,"The i5 is an excellent processor for quality-price. The 13600K under €300 is today, in my opinion, a bargain...",,,,,,,,
Intel I5 13600kf processor,5.0 out of 5 stars,"I am very satisfied with it, for 250 euros it is a very good price, I can only recommend it...",,,,,,,,
Great deal,5.0 out of 5 stars,"Bought with spring offers to upgrade my old PC, at 250 euros it is, in my opinion, a great deal...",,,,,,,,
OK,5.0 out of 5 stars,Excellent!,,,,,,,,
What else to say!!!,5.0 out of 5 stars,It's Intel,,,,,,,,
Top!!!,5.0 out of 5 stars,As expected.,,,,,,,,
i5 13600kf,5.0 out of 5 stars,"Bought on offer for €265, excellent quality-price ratio, paired with an Arctic double...",,,,,,,,
Perfect for gaming and applications.,5.0 out of 5 stars,"Honestly, I am delighted with this purchase. The CPU runs wonderfully, it almost...",,,,,,,,
